ID,Name,Compartment,"Copy number, typical",Type,Role
MG_271_272_273_274_192MER,pyruvate dehydrogenase,c,11,protein-complex,product
MG_271_272_273_274_192MER_ox,oxidized dihydrolipoamide dehydrogenase,c,0,protein-complex,product
MG_275_TETRAMER,NADH oxidase,m,242,protein-complex,product
MG_276_DIMER,adenine phosphoribosyltransferase,c,24,protein-complex,product
MG_278_DIMER,GTP pyrophosphokinase,c,16,protein-complex,product
MG_283_DIMER,prolyl-tRNA synthetase,c,14,protein-complex,product
MG_287_MONOMER_ACP,holo acyl carrier protein,c,0,protein-complex,product
MG_287_MONOMER_ddcaACP,Dodecanoyl-ACP (n-C12:0ACP),c,0,protein-complex,product
MG_287_MONOMER_hdeACP,cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1),c,0,protein-complex,product
MG_287_MONOMER_myrsACP,Myristoyl-ACP (n-C14:0ACP),c,0,protein-complex,product
MG_287_MONOMER_ocdcaACP,Octadecanoyl-ACP (n-C18:0ACP),c,0,protein-complex,product
MG_287_MONOMER_octeACP,cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1),c,0,protein-complex,product
MG_287_MONOMER_palmACP,Palmitoyl-ACP (n-C16:0ACP),c,0,protein-complex,product
MG_287_MONOMER_tdeACP,cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1),c,0,protein-complex,product
MG_289_290_291_PENTAMER,phosphonate ABC transporter,m,15,protein-complex,product
MG_292_TETRAMER,alanyl-tRNA synthetase,c,18,protein-complex,product
MG_293_DIMER,glycerophosphoryl diester phosphodiesterase family protein,c,33,protein-complex,product
MG_295_MONOMER_ox,oxidized tRNA U34 sulfurtransferase,c,0,protein-complex,product
MG_299_DIMER,phosphate acetyltransferase,c,22,protein-complex,product
MG_301_TETRAMER,"glyceraldehyde-3-phosphate dehydrogenase, type I",c,15,protein-complex,product
MG_302_303_304_TETRAMER,metal ion (cobalt) ABC transporter,m,16,protein-complex,product
MG_316_DIMER,DNA internalization-related competence protein ComEC/Rec2,m,21,protein-complex,product
MG_322_323_TETRAMER,"potassium uptake protein, TrkH family, putative",m,10,protein-complex,product
MG_333_DIMER,"FMN-dependent NADH-azoreductase, putative",c,15,protein-complex,product
MG_336_DIMER,cysteine desulfurase,c,15,protein-complex,product
MG_346_DIMER,23S rRNA methyltransferase,c,13,protein-complex,product
MG_347_DIMER,tRNA (guanine-N(7)-)-methyltransferase,c,11,protein-complex,product
MG_349_HEXAMER,Replication initiation/membrane attachment protein,c,13,protein-complex,product
MG_351_HEXAMER,inorganic pyrophosphatase,c,11,protein-complex,product
MG_352_DIMER,Holliday junction endonuclease,c,18,protein-complex,product
MG_353_DIMER,"DNA-binding protein HU, putative",c,16,protein-complex,product
MG_355_HEXAMER,"ATP-dependent Clp protease, ATPase subunit",c,13,protein-complex,product
MG_357_DIMER,acetate kinase,c,54,protein-complex,product
MG_358_359_10MER,Holliday junction DNA helicase,c,13,protein-complex,product
MG_367_DIMER,ribonuclease III,c,13,protein-complex,product
MG_368_DIMER,fatty acid/phospholipid synthesis protein PlsX,c,14,protein-complex,product
MG_369_DIMER,DAK2 phosphatase domain protein,c,14,protein-complex,product
MG_372_DIMER,thiamine biosynthesis/tRNA modification protein ThiI,c,108,protein-complex,product
MG_375_DIMER,threonyl-tRNA synthetase,c,124,protein-complex,product
MG_376_HEXAMER,,c,16,protein-complex,product
MG_382_TETRAMER,uridine kinase,c,10,protein-complex,product
MG_383_DIMER,"NH(3)-dependent NAD+ synthetase, putative",c,16,protein-complex,product
MG_385_DIMER,glycerophosphoryl diester phosphodiesterase family protein,c,10,protein-complex,product
MG_390_DIMER,"toxin ABC transporter, ATP-binding/permease protein",m,16,protein-complex,product
MG_391_HEXAMER,cytosol aminopeptidase,c,35,protein-complex,product
MG_392_393_21MER,GroEL-GroES chaperonin complex,c,13,protein-complex,product
MG_394_TETRAMER,serine hydroxymethyltransferase,c,14,protein-complex,product
MG_396_DIMER,ribose 5-phosphate isomerase B,c,27,protein-complex,product
MG_398_399_400_401_402_403_404_405_22MER,H(+)-transporting two-sector ATPase,m,11,protein-complex,product
MG_407_DIMER,enolase,c,34,protein-complex,product
MG_409_DIMER,"phosphate transport system regulatory protein PhoU, putative",c,16,protein-complex,product
MG_410_411_412_PENTAMER,phosphate ABC transporter,m,17,protein-complex,product
MG_425_DIMER,ATP-dependent RNA helicase,c,9,protein-complex,product
MG_427_DIMER,osmotically inducible peroxidase,c,17,protein-complex,product
MG_427_DIMER_ox,oxidized osmotically inducible peroxidase,c,0,protein-complex,product
MG_428_DIMER,"LuxR bacterial regulatory protein, putative",c,10,protein-complex,product
MG_431_DIMER,triosephosphate isomerase,c,25,protein-complex,product
MG_433_DIMER,translation elongation factor Ts,c,122,protein-complex,product
MG_434_HEXAMER,uridylate kinase,c,14,protein-complex,product
MG_437_DIMER,phosphatidate cytidylyltransferase,m,13,protein-complex,product
MG_445_DIMER,tRNA (guanine-N1)-methyltransferase,c,107,protein-complex,product
MG_451_DIMER,translation elongation factor Tu,c,139,protein-complex,product
MG_453_TETRAMER,UTP-glucose-1-phosphate uridylyltransferase,c,9,protein-complex,product
MG_454_DIMER,thiol-dependent peroxidase,c,29,protein-complex,product
MG_454_DIMER_ox,oxidized thiol-dependent peroxidase,c,0,protein-complex,product
MG_455_DIMER,tyrosyl-tRNA synthetase,c,95,protein-complex,product
MG_457_HEXAMER,ATP-dependent metalloprotease FtsH,m,70,protein-complex,product
MG_458_TETRAMER,hypoxanthine phosphoribosyltransferase,c,17,protein-complex,product
MG_460_TETRAMER,L-lactate dehydrogenase/malate dehydrogenase,c,13,protein-complex,product
MG_467_468_526_TETRAMER,salivaricin A ABC transporter,m,26,protein-complex,product
MG_469_1MER_ADP,DnaA-ADP,c,0,protein-complex,product
MG_469_1MER_ATP,DnaA-ATP,c,25,protein-complex,product
MG_469_2MER_1ATP_ADP,DnaA 2mer-(1)ATP-(1)ADP,c,0,protein-complex,product
MG_469_2MER_ATP,DnaA-ATP 2mer,c,0,protein-complex,product
MG_469_3MER_2ATP_ADP,DnaA 3mer-(2)ATP-(1)ADP,c,0,protein-complex,product
MG_469_3MER_ATP,DnaA-ATP 3mer,c,0,protein-complex,product
MG_469_4MER_3ATP_ADP,DnaA 4mer-(3)ATP-(1)ADP,c,0,protein-complex,product
MG_469_4MER_ATP,DnaA-ATP 4mer,c,0,protein-complex,product
MG_469_5MER_4ATP_ADP,DnaA 5mer-(4)ATP-(1)ADP,c,0,protein-complex,product
MG_469_5MER_ATP,DnaA-ATP 5mer,c,0,protein-complex,product
MG_469_6MER_5ATP_ADP,DnaA 6mer-(5)ATP-(1)ADP,c,0,protein-complex,product
MG_469_6MER_ATP,DnaA-ATP 6mer,c,0,protein-complex,product
MG_469_7MER_6ATP_ADP,DnaA 7mer-(6)ATP-(1)ADP,c,0,protein-complex,product
MG_469_7MER_ATP,DnaA-ATP 7mer,c,4,protein-complex,product
MG_482_DIMER,holo-(acyl-carrier-protein) synthase,c,13,protein-complex,product
REPLISOME,Replisome,c,0,protein-complex,product
RIBOSOME_30S,30S ribosomal subunit,c,25,protein-complex,product
RIBOSOME_30S_IF3,30S ribosomal subunit - translation initiation factor IF-3 complex,c,0,protein-complex,product
RIBOSOME_50S,50S ribosomal subunit,c,12,protein-complex,product
RIBOSOME_70S,70S ribosome,c,56,protein-complex,product
RNA_POLYMERASE,DNA-directed RNA polymerase,c,40,protein-complex,product
RNA_POLYMERASE_HOLOENZYME,DNA-directed RNA polymerase holoenzyme,c,0,protein-complex,product
